"X"	"p"	"dist"
1	0.21769	13.5
1	0.21322	13.5
1	0.08598	13.6
2	0.33002	13.6
3	0.42694	13.6
2	0.06809	13.6
2	0.40159	13.6
3	0.19831	13.6
3	0.25646	13.6
2	0.12276	13.6
1	0.05765	13.6
2	0.12326	13.7
2	0.06561	13.7
3	0.19682	13.7
2	0.11481	13.7
1	0.10288	13.7
3	0.21968	13.7
2	0.17396	13.7
3	0.21918	13.7
3	0.22018	13.7
2	0.11581	13.7
1	0.15258	13.7
1	0.19185	13.7
1	0.12724	13.7
1	0.08201	13.7
1	0.07356	13.7
1	0.16402	13.7
1	0.08101	13.7
1	0.05368	13.7
2	0.06163	13.7
1	0.0666	13.7
2	0.24901	13.7
2	0.16799	13.7
1	0.08151	13.7
1	0.0507	13.7
2	0.10736	13.7
2	0.12624	13.7
1	0.08797	13.8
3	0.39761	13.8
3	0.37575	13.8
3	0.18688	13.8
1	0.09543	13.8
1	0.06262	13.8
1	0.05865	13.8
3	0.23708	13.8
3	0.32604	13.8
1	0.09891	13.8
1	0.0994	13.8
3	0.22565	13.8
3	0.40755	13.8
3	0.38668	13.8
3	0.32356	13.8
1	0.05865	13.8
1	0.06412	13.8
3	0.22863	13.8
3	0.17893	13.8
3	0.24155	13.8
1	0.0835	13.8
3	0.3325	13.8
1	0.10785	13.8
1	0.12922	13.8
2	0.33052	13.9
1	0.11978	13.9
1	0.07455	13.9
2	0.27833	13.9
2	0.15954	13.9
1	0.09592	13.9
2	0.16551	13.9
2	0.14215	13.9
1	0.10089	13.9
1	0.08151	14
2	0.16004	14
1	0.05915	14
2	0.23956	14
2	0.27336	14
3	0.4667	14
2	0.31511	14
3	0.42197	14
3	0.34145	14
3	0.37575	14
1	0.09145	14
3	0.38121	14
1	0.14662	14
2	0.24702	14
2	0.06561	14
2	0.333	14
2	0.09344	14
2	0.14911	14
3	0.48012	14
2	0.26342	14
2	0.20676	14
2	0.23111	14
2	0.26193	14.1
2	0.25249	14.1
2	0.21123	14.1
3	0.43936	14.1
2	0.13171	14.1
2	0.15457	14.1
2	0.26441	14.1
3	0.39712	14.1
1	0.08101	14.1
2	0.11581	14.1
3	0.31511	14.1
1	0.07704	14.1
3	0.27137	14.1
3	0.46769	14.1
1	0.08201	14.1
3	0.42694	14.1
1	0.09195	14.1
3	0.334	14.1
2	0.24056	14.2
1	0.22018	14.2
1	0.08449	14.2
1	0.1168	14.2
2	0.17396	14.3
2	0.06362	14.3
2	0.28827	14.3
2	0.21322	14.3
3	0.31014	14.4
3	0.3996	14.4
3	0.4836	14.4
2	0.31064	14.5
2	0.28131	14.5
1	0.21421	14.5
1	0.084	14.5
3	0.34891	14.5
3	0.25994	14.5
3	0.29573	14.5
3	0.38469	14.5
3	0.2008	14.5
3	0.25199	14.5
1	0.084	14.5
3	0.22813	14.5
1	0.06759	14.5
3	0.2659	14.5
1	0.13569	14.5
1	0.06461	14.5
1	0.12078	14.5
1	0.05219	14.5
1	0.05517	14.5
3	0.23956	14.5
1	0.17296	14.5
1	0.10984	14.5
3	0.10338	14.5
1	0.13767	14.6
3	0.32406	14.7
1	0.05865	14.7
3	0.4329	14.7
3	0.4329	14.7
1	0.15457	14.7
3	0.25795	14.7
3	0.43887	14.7
1	0.09095	14.7
1	0.16551	14.7
2	0.14463	14.7
2	0.15109	14.8
1	0.07803	14.8
2	0.27584	14.9
2	0.20626	14.9
1	0.22316	14.9
3	0.44831	14.9
3	0.15358	14.9
3	0.41799	14.9
3	0.18439	14.9
3	0.41103	14.9
3	0.46769	14.9
1	0.21024	14.9
1	0.20875	14.9
1	0.1173	15
1	0.12624	15.1
2	0.28529	15.1
1	0.11829	15.1
3	0.38668	15.1
2	0.16302	15.1
2	0.20427	15.1
1	0.11481	15.1
3	0.36382	15.1
2	0.17048	15.1
3	0.37624	15.1
3	0.35934	15.4
2	0.26093	15.4
1	0.11382	15.4
2	0.12624	15.4
2	0.13072	15.5
1	0.2669	15.5
1	0.10139	15.6
1	0.21074	15.6
1	0.31958	15.6
1	0.08598	15.6
1	0.28131	15.6
3	0.27584	15.7
3	0.45577	15.7
3	0.44781	15.7
3	0.2341	15.7
1	0.11034	15.9
1	0.14414	15.9
1	0.13966	15.9
2	0.18539	15.9
3	0.23509	15.9
3	0.31412	15.9
1	0.12326	15.9
2	0.12972	15.9
1	0.11481	15.9
3	0.20328	15.9
1	0.06362	15.9
2	0.15606	15.9
2	0.27187	16
2	0.21769	16
2	0.16054	16
1	0.08499	16
2	0.08748	16
3	0.47018	16
3	0.3673	16
2	0.28529	16
2	0.05616	16
2	0.22763	16
2	0.25646	16
1	0.23857	16.1
1	0.15805	16.1
1	0.07455	16.1
2	0.29225	16.1
2	0.30169	16.1
2	0.12028	16.1
2	0.417	16.1
2	0.24751	16.1
1	0.16799	16.1
3	0.48161	16.3
2	0.17744	16.3
1	0.05616	16.3
1	0.13221	16.3
2	0.10686	16.3
2	0.10686	16.3
1	0.06113	16.3
2	0.25149	16.3
2	0.09692	16.3
1	0.17942	16.3
2	0.30915	16.3
1	0.12724	16.3
2	0.17495	16.3
2	0.18489	16.3
2	0.30318	16.3
1	0.25547	16.4
1	0.17495	16.4
2	0.34642	16.4
2	0.09742	16.4
1	0.07903	16.4
1	0.23559	16.4
2	0.0994	16.4
1	0.16501	16.4
2	0.26441	16.4
1	0.07107	16.4
2	0.33996	16.4
1	0.07058	16.4
1	0.31561	16.4
2	0.10686	16.4
2	0.17594	16.4
1	0.08052	16.4
1	0.14364	16.4
3	0.33002	16.4
2	0.16998	16.4
1	0.05417	16.5
2	0.1834	16.5
3	0.416	16.5
3	0.43688	16.5
1	0.12127	16.5
1	0.14215	16.5
1	0.17197	16.5
3	0.41451	16.5
1	0.06113	16.6
1	0.12376	16.6
3	0.34592	16.6
1	0.15209	16.6
1	0.083	16.6
1	0.11431	16.6
2	0.10885	16.6
1	0.17843	16.7
1	0.12972	16.7
1	0.14662	16.7
2	0.11581	16.7
2	0.20676	16.7
2	0.42197	16.7
2	0.16849	16.8
2	0.36083	16.8
1	0.3161	16.8
1	0.26938	16.9
2	0.09642	16.9
2	0.1327	16.9
1	0.18091	16.9
1	0.34642	16.9
1	0.17495	16.9
2	0.3673	16.9
1	0.1675	16.9
2	0.18986	16.9
1	0.09543	16.9
1	0.05517	16.9
2	0.33201	17
1	0.2664	17
1	0.21173	17
1	0.05616	17.1
2	0.27386	17.1
1	0.10338	17.1
2	0.17296	17.1
2	0.27336	17.1
2	0.25746	17.1
1	0.08499	17.1
2	0.29771	17.1
1	0.09344	17.1
1	0.23062	17.1
1	0.13767	17.1
1	0.1337	17.1
1	0.15606	17.1
1	0.25	17.2
1	0.05964	17.3
1	0.19781	17.3
2	0.22863	17.5
1	0.08897	17.5
2	0.13022	17.5
3	0.22863	17.5
2	0.09692	17.5
2	0.09891	17.6
2	0.05219	17.6
2	0.07803	17.6
1	0.06909	17.7
2	0.08201	17.7
1	0.07406	17.7
1	0.06064	17.7
3	0.1506	17.9
3	0.23459	18
3	0.23608	18
3	0.20626	18
2	0.13171	18
2	0.16153	18.1
3	0.31561	18.1
2	0.10537	18.1
1	0.08101	18.1
3	0.28131	18.1
2	0.1829	18.1
2	0.16252	18.1
2	0.17197	18.1
2	0.12823	18.1
2	0.10437	18.1
2	0.05616	18.1
2	0.12972	18.1
3	0.32803	18.1
3	0.23161	18.2
3	0.22565	18.2
2	0.20825	18.2
3	0.34245	18.3
2	0.27485	18.3
2	0.24801	18.3
2	0.23062	18.3
3	0.31511	18.3
2	0.19185	18.3
2	0.25398	18.3
2	0.25646	18.3
1	0.06461	18.3
2	0.22167	18.3
2	0.17445	18.3
2	0.25497	18.3
3	0.24602	18.4
3	0.30268	18.4
2	0.22068	18.4
2	0.26342	18.4
1	0.1173	18.5
1	0.16899	18.5
3	0.3335	18.5
2	0.21869	18.5
3	0.46322	18.5
3	0.2992	18.5
3	0.42396	18.6
2	0.16004	18.6
2	0.41551	18.6
1	0.09245	18.6
3	0.37624	18.7
2	0.33847	18.7
3	0.49702	18.7
1	0.06412	18.7
3	0.48161	18.7
2	0.05318	18.7
1	0.07704	18.8
3	0.32107	18.8
1	0.14563	18.8
2	0.13817	18.8
2	0.22465	18.8
1	0.17097	18.9
1	0.08996	18.9
2	0.08996	18.9
1	0.22068	18.9
2	0.4503	19
2	0.22813	19
1	0.167	19
2	0.16551	19.1
2	0.23062	19.1
2	0.32107	19.1
1	0.06859	19.1
2	0.27038	19.1
1	0.05815	19.1
1	0.0661	19.1
1	0.08449	19.1
2	0.08549	19.3
1	0.18141	19.3
1	0.30417	19.3
3	0.19135	19.6
3	0.34543	19.6
1	0.09195	19.6
3	0.47913	19.6
2	0.09245	19.6
2	0.09245	19.6
1	0.1332	19.6
2	0.32604	19.6
2	0.30467	19.6
2	0.30765	19.6
2	0.30765	19.6
1	0.07803	19.6
2	0.19632	19.6
2	0.35288	19.7
3	0.47913	19.7
3	0.4006	19.7
3	0.47167	19.7
1	0.07952	19.7
2	0.12078	19.7
3	0.28628	19.7
3	0.43439	19.7
3	0.39016	19.7
3	0.42893	19.8
2	0.29225	19.8
3	0.15209	19.9
1	0.22167	19.9
3	0.39463	19.9
3	0.27734	20
2	0.05915	20
3	0.2833	20
3	0.32356	20
2	0.32753	20.1
1	0.12575	20.1
1	0.08449	20.1
2	0.28926	20.1
3	0.31362	20.1
1	0.15656	20.1
1	0.09642	20.1
3	0.21123	20.1
1	0.13618	20.1
1	0.05616	20.1
2	0.30318	20.1
1	0.09791	20.3
3	0.44284	20.3
1	0.20477	20.3
1	0.21819	20.3
2	0.4175	20.3
1	0.12227	20.3
1	0.22465	20.3
2	0.09046	20.3
1	0.22565	20.3
1	0.16451	20.3
1	0.05169	20.3
1	0.24404	20.4
1	0.15656	20.4
1	0.18141	20.5
1	0.25497	20.5
1	0.18887	20.5
1	0.21372	20.5
1	0.17942	20.5
1	0.25348	20.5
1	0.36382	20.5
1	0.07604	20.6
1	0.19135	20.6
1	0.06113	20.6
3	0.28231	20.6
3	0.34294	20.6
2	0.14911	20.6
3	0.21024	20.6
2	0.08748	20.8
1	0.10089	20.8
3	0.4836	20.8
2	0.20825	20.8
2	0.22018	20.8
2	0.33996	20.8
3	0.45129	20.8
3	0.44135	20.8
3	0.48708	20.8
2	0.1496	20.8
3	0.39463	20.9
3	0.40805	20.9
2	0.11183	20.9
1	0.08598	20.9
1	0.13668	20.9
3	0.31113	20.9
3	0.31113	20.9
3	0.21819	20.9
2	0.05368	20.9
1	0.05666	20.9
3	0.35785	20.9
3	0.18241	20.9
1	0.11779	20.9
1	0.13469	20.9
3	0.38867	20.9
3	0.21123	21
2	0.19583	21
1	0.09394	21
2	0.19533	21
2	0.20328	21
3	0.39761	21
1	0.17247	21
1	0.05467	21
1	0.15905	21
3	0.31213	21
3	0.31262	21
3	0.46918	21
3	0.33847	21
1	0.07406	21
3	0.47217	21
1	0.09543	21
3	0.39463	21
2	0.14215	21
2	0.14165	21
2	0.17147	21.1
1	0.05318	21.1
1	0.08151	21.1
3	0.43191	21.1
1	0.10537	21.1
2	0.10437	21.1
2	0.08052	21.1
3	0.32654	21.1
1	0.05716	21.1
2	0.07356	21.2
1	0.21272	21.2
2	0.14911	21.2
1	0.06759	21.2
3	0.19433	21.2
1	0.10835	21.2
3	0.26392	21.2
1	0.1496	21.3
3	0.22167	21.3
3	0.37276	21.3
1	0.10686	21.3
3	0.24503	21.3
1	0.1665	21.3
3	0.32803	21.3
2	0.24453	21.3
1	0.19533	21.3
1	0.18787	21.3
1	0.20626	21.3
3	0.23161	21.3
3	0.43986	21.3
1	0.12575	21.3
1	0.14115	21.5
1	0.08549	21.6
2	0.21471	21.6
1	0.167	21.6
1	0.11928	21.6
1	0.19583	21.6
1	0.08797	21.6
1	0.09145	21.6
1	0.15706	21.6
1	0.15706	21.6
1	0.05964	21.6
3	0.32604	21.7
3	0.29423	21.7
2	0.05368	21.7
1	0.20726	21.8
2	0.34841	21.9
2	0.21372	21.9
2	0.37773	21.9
2	0.42744	21.9
2	0.17744	21.9
2	0.39414	21.9
2	0.08002	21.9
1	0.16899	21.9
2	0.19483	21.9
1	0.19185	21.9
2	0.28877	21.9
2	0.23907	21.9
2	0.17445	22
1	0.06262	22
3	0.16451	22
2	0.12972	22
2	0.17445	22
2	0.11978	22
3	0.24006	22
1	0.13469	22
3	0.38618	22.1
2	0.10736	22.1
1	0.12873	22.1
2	0.26193	22.1
2	0.2659	22.1
3	0.31014	22.1
2	0.17793	22.1
1	0.0666	22.1
1	0.12724	22.2
2	0.334	22.2
1	0.06262	22.2
1	0.1506	22.2
3	0.43936	22.2
2	0.33598	22.2
2	0.10338	22.2
1	0.07455	22.2
1	0.12227	22.2
2	0.23708	22.2
2	0.27386	22.2
2	0.37773	22.2
2	0.34394	22.2
3	0.37177	22.2
2	0.23012	22.2
2	0.06412	22.2
3	0.43787	22.2
3	0.41948	22.2
3	0.34543	22.2
2	0.17048	22.3
2	0.2341	22.3
2	0.0507	22.3
2	0.2664	22.3
2	0.29523	22.3
3	0.16054	22.3
1	0.0835	22.3
2	0.28181	22.3
2	0.33002	22.4
1	0.15358	22.4
1	0.05417	22.5
3	0.42992	22.5
3	0.30219	22.5
3	0.43141	22.5
1	0.16948	22.5
2	0.2659	22.5
3	0.2828	22.6
3	0.29722	22.6
1	0.14066	22.7
3	0.26789	22.7
1	0.23857	22.7
2	0.08648	22.9
2	0.3673	22.9
2	0.15954	22.9
3	0.28479	22.9
1	0.05865	22.9
2	0.14563	22.9
2	0.12127	22.9
1	0.06958	22.9
3	0.13022	22.9
2	0.07505	22.9
3	0.26789	22.9
1	0.06461	22.9
1	0.10934	23
2	0.15706	23.2
2	0.26193	23.2
1	0.10736	23.2
2	0.34543	23.2
1	0.11978	23.2
1	0.43191	23.3
3	0.28827	23.3
1	0.10139	23.3
3	0.27982	23.3
1	0.20974	23.3
3	0.0835	23.3
3	0.40507	23.3
3	0.06213	23.4
1	0.12276	23.4
3	0.29125	23.4
3	0.25298	23.4
3	0.0502	23.4
1	0.05865	23.4
3	0.15755	23.4
1	0.10835	23.4
1	0.20229	23.4
2	0.28181	23.4
1	0.12525	23.4
2	0.11829	23.5
2	0.23509	23.5
2	0.18141	23.6
3	0.26292	23.6
3	0.13072	23.6
3	0.36879	23.6
3	0.40408	23.6
2	0.33549	23.6
1	0.10239	23.6
2	0.17744	23.6
1	0.12873	23.7
2	0.12227	23.7
2	0.18042	23.7
2	0.35885	23.7
2	0.12674	23.7
1	0.11581	23.8
3	0.44185	23.8
3	0.46571	23.8
3	0.3996	23.8
1	0.20378	23.8
2	0.07207	23.8
2	0.35984	23.8
2	0.14066	23.8
3	0.37575	23.8
3	0.31362	23.8
2	0.41203	23.8
3	0.46471	23.9
2	0.22068	23.9
2	0.09195	23.9
1	0.07903	23.9
2	0.17097	23.9
2	0.39911	23.9
3	0.40557	23.9
2	0.31163	23.9
1	0.11382	24.1
3	0.37972	24.1
3	0.4662	24.1
1	0.11978	24.1
1	0.13618	24.1
1	0.08698	24.1
1	0.11531	24.1
1	0.11481	24.1
1	0.13817	24.3
1	0.12078	24.3
1	0.12624	24.4
1	0.05417	24.4
1	0.06113	24.4
3	0.47117	24.4
3	0.47117	24.4
3	0.47117	24.4
1	0.16849	24.5
1	0.05616	24.6
2	0.08996	24.7
2	0.08996	24.7
2	0.11233	24.8
2	0.17247	24.8
2	0.14662	24.8
2	0.09791	24.8
3	0.33002	24.8
1	0.26889	24.8
1	0.32604	24.8
1	0.09394	24.8
1	0.2326	24.8
2	0.3161	24.8
2	0.20527	24.9
1	0.07157	24.9
3	0.11034	24.9
2	0.17992	24.9
2	0.23658	25
2	0.084	25
2	0.16103	25.1
2	0.21918	25.1
2	0.08002	25.1
1	0.05765	25.1
2	0.3663	25.2
1	0.07853	25.2
1	0.05716	25.3
1	0.08698	25.3
2	0.10338	25.3
2	0.17147	25.3
1	0.06262	25.3
1	0.06362	25.3
2	0.20328	25.3
1	0.06909	25.3
2	0.27386	25.3
2	0.13817	25.3
2	0.13817	25.3
2	0.17346	25.3
2	0.19135	25.3
1	0.05169	25.3
2	0.14861	25.4
2	0.21223	25.4
2	0.27883	25.4
2	0.27634	25.4
2	0.22117	25.4
2	0.2669	25.4
2	0.22217	25.4
1	0.06759	25.5
2	0.20924	25.5
2	0.06909	25.5
2	0.05865	25.5
2	0.17445	25.5
1	0.05666	25.7
3	0.30368	25.7
1	0.13022	25.7
3	0.25994	25.7
3	0.38917	25.7
2	0.25746	25.8
1	0.05219	25.8
2	0.31213	25.8
2	0.3335	25.9
1	0.05964	25.9
1	0.18688	25.9
2	0.24006	25.9
2	0.14612	25.9
2	0.16103	25.9
2	0.19384	25.9
1	0.05467	26
1	0.05467	26
1	0.06809	26
1	0.11083	26
1	0.07952	26.1
1	0.07157	26.1
1	0.16849	26.1
1	0.0999	26.1
1	0.07008	26.1
1	0.07654	26.1
2	0.18887	26.1
1	0.06113	26.1
1	0.06909	26.1
2	0.2172	26.3
2	0.29125	26.3
2	0.31909	26.3
2	0.24503	26.3
1	0.0671	26.3
1	0.06113	26.3
1	0.31362	26.3
1	0.06362	26.4
1	0.14016	26.4
1	0.11382	26.4
1	0.05467	26.4
1	0.19384	26.4
1	0.14761	26.4
1	0.0507	26.5
3	0.47117	26.5
3	0.15855	26.5
3	0.44583	26.5
1	0.09245	26.5
1	0.09344	26.5
1	0.36083	26.5
1	0.15358	26.5
3	0.1163	26.5
1	0.1675	26.5
